t,s1,s2
10.86,-235.19865952721293,-4221.958202768795
10.88,-234.54574446439,-4224.875221003475
10.9,-234.95667504739103,-4227.994024961507
10.92,-236.67049963048703,-4231.818848455975
10.94,-239.45074535135203,-4235.850183967016
10.96,-243.80129844196568,-4240.271615274361
10.98,-249.1161182422176,-4244.1502266936
11.0,-256.6685259318584,-4247.808252968237
11.02,-265.28597063399894,-4250.273683887215
11.04,-276.2438161636784,-4250.8001843524835
11.06,-288.7046402784259,-4249.165447590921
11.08,-302.49525401379356,-4247.6161079768335
11.1,-317.21497303510967,-4248.413078200301
11.12,-332.08610753180574,-4253.987601679094
11.14,-346.3155881572513,-4265.301694440097
11.16,-359.41235613178225,-4283.768297730308
11.18,-370.6696359717612,-4308.219159901258
11.2,-379.5396344854877,-4337.266298610848
11.22,-387.4515051250948,-4366.97089491358
11.24,-396.5765979907206,-4393.299454436704
11.26,-406.5697416019949,-4414.717043085281
11.28,-417.23641318869096,-4430.920703632283
11.3,-428.12184884905986,-4442.945830751646
11.32,-437.93810037848584,-4451.384772358821
11.34,-446.7904073688503,-4457.427401079465
11.36,-454.39794829684087,-4461.505527603086
11.38,-460.61465868086566,-4464.597590336703
11.4,-465.7330499633311,-4467.731274258222
11.42,-469.1631887872049,-4471.288252809741
11.44,-471.018092079217,-4474.98198565526
11.46,-471.6714157837279,-4479.902158219246
11.48,-470.63723979080703,-4485.503430846779
11.5,-468.2352954516471,-4491.695630145894
11.52,-464.5255768636124,-4498.172245811562
11.54,-459.69839587781854,-4504.9534048393225
11.56,-453.5202661091531,-4510.930933412281
11.58,-445.8940989206096,-4516.099295539267
11.6,-436.7342586431023,-4518.402762245792
11.62,-425.6256373133286,-4517.949256054665
11.64,-412.60102619763853,-4512.969190876642
11.66,-397.6317014159529,-4502.256310227602
11.68,-381.0179745823121,-4486.003546687535
11.7,-363.83448431147025,-4463.816510793254
11.72,-346.95259569759446,-4435.327724692373
11.74,-332.7456741319816,-4402.543781479438
11.76,-323.548997075073,-4365.7351225451275
11.78,-320.35592760292826,-4325.055191823564
11.8,-324.13443368314,-4276.990991152926
11.82,-327.3282326407361,-4230.474026489606
11.84,-325.44300893174386,-4190.910813306233
11.86,-318.46573820035337,-4152.536176301578
11.88,-308.45684752560555,-4113.604088696528
11.9,-297.0657040960083,-4072.2721222961286
11.92,-287.3061445830426,-4032.4328363098975
11.94,-282.7458390979043,-3996.2135886695687
11.96,-283.9574548784527,-3962.8832060446975
11.98,-290.8481546529014,-3926.554800167863
12.0,-303.314650829216,-3883.5242233861536
12.02,-314.29100737229635,-3845.2867206956175
12.04,-321.8319486136041,-3813.198425110764
12.06,-327.0758114378172,-3782.1900436828464
12.08,-330.76545515070046,-3749.6671884055704
12.1,-335.3849093151152,-3717.391803498773
12.12,-343.2351667239876,-3686.2227985314776
12.14,-354.40588569454894,-3651.588344665564
12.16,-371.88408218302266,-3606.761237735505
12.18,-388.10732872529576,-3563.3717365933444
12.2,-398.0456495382674,-3529.842062519758
12.22,-403.4617746841127,-3497.514717498318
12.24,-405.1223765895628,-3462.777161079658
12.26,-406.3654641866772,-3428.2816197691754
12.28,-408.852381689144,-3395.822220165168
12.3,-414.066900752172,-3363.108177685186
12.32,-422.3556819723767,-3325.8482914087926
12.34,-432.10822044672005,-3283.986641433348
12.36,-437.020561552481,-3247.5811636747485
12.38,-436.38287593463934,-3214.4133593033057
12.4,-430.2511762425577,-3180.524632149147
12.42,-418.946369067608,-3145.1741713134406
12.44,-404.29198844019993,-3109.1807862242754
12.46,-388.10732872529576,-3072.3095965566185
12.48,-372.4590855733132,-3035.6042849833475
12.5,-359.41235613178225,-2997.265427515615
12.52,-351.11820565640573,-2957.55837479446
