Tempo Angle omega x y
s degrees degrees/s  
24.4310 0.1561 -40.7879  
24.4640 -1.9203 -55.9869  
24.4970 -4.0134 -55.9558  
24.5320 -6.0919 -45.5459  
24.5640 -7.5794 103.8558  
24.5980 -8.9058 -18.2864  
24.6310 -10.0708 -18.6369  
24.6640 -11.0653 -16.0101  
24.7010 -11.9395 -31.4064  
24.7300 -13.2986 -235.2838  
24.7630 -13.6893 236.6335  
24.7980 -13.8664 8.2271  
24.8300 -13.7969 19.3445  
24.8640 -13.5032 19.0522  
24.8980 -13.4446 28.5967  
24.9300 -13.3990 -23.4531  
24.9640 -13.3391 -13.9147  
24.9980 -13.0289 58.0959  
25.0310 -12.4047 59.9054  
25.0630 -10.9106 58.6427  
25.0970 -9.9233 80.6138  
25.1310 -8.7408 65.8964  
25.1640 -7.3974 67.4844  
25.1970 -5.8960 67.5315  
25.2310 -4.2063 83.9777  
25.2640 -2.2920 45.3123  
25.2970 -0.1584 52.0939  
25.3300 1.9539 53.4354  
25.3640 3.8265 -12.3765  
25.3970 5.4171 -28.5750  
25.4310 6.8117 22.9687  
25.4630 8.0431 19.0236  
25.4970 9.0897 11.1154  
25.5300 9.8262 -26.4050  
25.5980 10.3731 14.0900  
25.6310 10.7443 -7.8842  
25.6640 10.8885 -16.7427  
25.6970 10.7868 -21.0555  
25.7310 10.6319 -28.0288  
25.7630 10.4676 -32.3977  
25.7980 10.4176 54.9791  
25.8330 10.1167 -54.3016  
25.8640 9.6533 -40.2511  
25.8980 8.9911 -84.0744  
25.9310 8.0102 -67.5700  
25.9640 6.8323 -67.5359  
25.9980 5.4862 -65.7472  
26.0300 3.9857 -69.9850  
26.0640 2.3557 -66.0914  
26.0970 0.6569 -52.2649  
26.1310 -1.4441 -61.6911  
26.1640 -3.5314 -53.4540  
26.1970 -5.5485 -16.5407  
26.2310 -7.3595 -23.4501  
26.2640 -8.9544 -2.0974  
26.2970 -10.1606 50.2715  
26.3310 -11.1960 -15.5337  
26.3640 -12.0340 -8.0150  
26.4310 -12.6472 0.0000  
26.4650 -13.0680 5.8645  
26.4980 -13.2260 16.0870  
26.5310 -13.1281 24.0687  
26.5640 -12.8931 25.0294  
26.6010 -12.7373 -42.9608  
26.6300 -12.5410 11.5796  
26.6500 -12.3427 83.9498  
26.6980 -11.8908 41.8175  
26.7310 -11.2276 56.0442  
26.7640 -10.3398 68.0338  
26.7970 -9.1979 83.0576  
26.8300 -7.8862 67.5427  
26.8650 -6.4428 60.3205  
26.8980 -4.8349 74.8838  
26.9300 -2.8564 66.1101  
26.9640 -0.7522 46.8808  
26.9970 1.3681 55.7486  
27.0350 3.3270 10.3301  
27.0630 5.1493 17.2890  
27.0970 6.6261 -35.5909  
27.1310 7.8896 17.8943  
27.1640 8.9681 11.4713  
27.1970 10.0018 50.3903  
27.2640 10.8014 1.9511  
27.2980 11.2101 -52.7531  
27.3310 11.4162 -13.1245  
27.3640 11.3655 -22.0443  
27.3970 11.1888 -26.2629  
27.4310 10.8687 -27.9671  
27.4640 10.8734 61.7756  
27.4980 10.6370 -53.0333  
27.5310 10.2010 -49.0213  
