Tempo Angle omega x y
s degrees degrees/s  
23.5790 -9.7261 19.7165  
23.6300 -10.0519 10.9600  
23.6450 -10.1954 49.5830  
23.6970 -10.2158 16.9845  
23.7120 -10.0763 80.5624  
23.7640 -9.7374 23.1746  
23.7790 -9.3719 -31.8844  
23.8310 -8.7758 33.5904  
23.8630 -7.9461 66.0516  
23.8790 -6.8707 153.5457  
23.9310 -5.6080 42.0897  
23.9460 -4.1682 155.3331  
23.9970 -2.5850 42.7027  
24.0120 -0.8287 174.3079  
24.0630 0.8634 11.0794  
24.0790 2.3080 -79.2788  
24.1310 3.9024 19.5909  
24.1460 5.8886 377.7310  
24.1970 7.4420 -43.4379  
24.2120 8.6036 -97.4211  
24.2460 9.7229 51.9264  
24.3130 10.6238 2.1970  
24.3460 11.1121 -59.0530  
24.3800 11.3305 -2.5152  
24.4300 11.8493 71.3989  
24.4460 11.9278 -354.4143  
24.4970 11.7969 -21.1116  
24.5120 11.2152 77.2710  
24.5640 10.7944 -11.6812  
24.5790 10.2202 -199.6440  
24.6310 9.2369 -44.7220  
24.6480 8.0070 -136.3497  
24.6850 6.7394 -62.8952  
24.7120 5.2213 -95.9266  
24.7630 3.1407 -40.2892  
24.7790 1.4237 -127.1592  
24.8310 -0.1273 11.2062  
24.8630 -1.8350 -12.7428  
24.8790 -3.5843 -63.9836  
24.9300 -5.1275 -18.2983  
24.9460 -6.4982 -37.5306  
24.9970 -7.6930 -10.9702  
25.0120 -8.8519 -131.1459  
25.0460 -10.0135 -77.0051  
25.0970 -10.5055 91.0319  
25.1120 -10.7530 27.2692  
25.1640 -11.0030 10.7428  
25.1790 -11.1286 55.7416  
25.2310 -11.0541 18.7872  
25.2460 -10.7749 74.3061  
25.2970 -10.4560 -4.0134  
25.3120 -9.9495 87.8186  
25.3620 -9.1301 23.2385  
25.3790 -7.7771 159.8264  
25.4340 -6.6565 42.1749  
25.4470 -5.3439 179.0639  
25.4970 -3.8694 43.5739  
25.5120 -2.2591 146.2331  
25.5630 -0.5155 45.3040  
25.5790 1.1193 1.6537  
25.6300 2.6956 -15.4885  
25.6460 4.2421 63.7020  
25.6970 6.2431 111.9028  
25.7120 7.5892 -255.4407  
25.7630 8.7055 0.4160  
25.7810 9.5897 0.3367  
25.8300 11.0415 160.3218  
25.8450 11.6718 -401.4503  
25.8970 11.8555 -41.4527  
25.9130 12.2676 144.4441  
25.9640 12.8528 18.4365  
25.9790 12.7737 -374.8948  
26.0300 12.0162 -21.1285  
26.0450 11.7665 83.1086  
26.0970 11.3149 -38.4014  
26.1120 10.6624 -133.6166  
26.1640 8.9919 -44.6857  
26.1790 7.7053 -145.5082  
26.2310 6.3878 -47.3916  
26.2460 4.5666 -181.7570  
26.2970 2.4753 -34.5054  
26.3120 0.9440 -1.6143  
26.3640 -0.5964 -22.4883  
26.3970 -2.3035 -12.6906  
26.4120 -3.9133 -68.3003  
26.4640 -5.3922 -13.3759  
26.4790 -6.7039 -43.4421  
26.5300 -7.8290 -6.2001  
26.5460 -8.6758 19.8791  
26.5800 -9.3554 -30.9969  
26.6120 -9.7762 25.8947  
26.6640 -10.1535 7.8793  
26.6790 -10.3581 37.2195  
26.7130 -10.4280 27.3056  
26.7640 -10.2976 19.1688  
26.7970 -10.1500 -15.8318  
26.8120 -9.6890 165.4232  
26.8640 -9.1768 3.7691  
26.8790 -8.5327 109.1518  
26.9300 -7.5115 53.2847  
26.9460 -6.3547 136.5572  
26.9970 -5.0059 45.6507  
27.0150 -3.4935 121.9789  
27.0630 -1.7735 62.5891  
27.0790 -0.0164 84.2479  
27.1310 1.8093 3.1519  
27.1450 3.4766 64.0866  
27.1970 5.0302 -18.0794  
27.2120 6.8941 315.9146  
27.2630 8.1462 -66.6479  
27.2790 9.3732 120.7919  
27.3300 10.1480 -42.9875  
27.3460 11.1480 277.9201  
27.3800 11.4625 -113.2582  
27.4310 11.5863 -10.9737  
27.4450 12.0298 240.1417  
27.4960 11.9034 -94.1651  
27.5120 11.7685 -64.0154  
27.5630 11.1427 -3.3471  
