Tempo Ângulo omega x y
s graus graus/s  
25.7990 0.3051 -10.2788  
25.8150 -0.6449 -67.7266  
25.8660 -1.5469 -4.8584  
25.8810 -2.4851 -15.3167  
25.9660 -3.5097 -22.9197  
25.9810 -4.1664 135.0802  
26.0330 -4.5701 17.5243  
26.0660 -4.6987 19.2219  
26.0810 -4.6838 32.0243  
26.1150 -4.6664 4.5717  
26.1660 -4.5015 18.6538  
26.1810 -4.0319 130.8291  
26.2320 -3.3752 31.8296  
26.2480 -2.5313 102.6764  
26.2980 -1.3716 24.1848  
26.3180 -0.4437 -14.5556  
26.3470 0.4570 22.0175  
26.3810 1.3898 28.1169  
26.4160 2.2984 6.8032  
26.4650 3.1446 -9.5764  
26.5320 3.9633 10.1060  
26.5480 4.5764 -5.8688  
26.5990 4.9216 -20.6792  
26.6150 5.0663 -22.7205  
26.6660 5.1045 2.8475  
26.6810 5.0909 -53.9907  
26.7320 4.8725 -27.6314  
26.7480 4.3977 -100.5222  
26.8040 3.6892 -37.4793  
26.8170 2.8803 -113.2894  
26.8660 1.9326 -14.5065  
26.8810 0.9816 -8.5287  
26.9320 0.0946 -8.0972  
26.9480 -0.8453 -55.8604  
26.9990 -1.8346 -6.8331  
27.0150 -2.8880 -90.7146  
27.0480 -4.2687 -141.8715  
27.0990 -4.9335 108.8519  
27.1150 -5.2783 68.7672  
27.1660 -5.4241 10.1542  
27.1810 -5.4363 41.6492  
27.2330 -5.3716 12.3215  
27.2480 -5.2693 -2.4322  
27.2990 -5.0399 7.4002  
27.3150 -4.4774 186.3642  
27.3660 -3.6073 31.8580  
27.3840 -2.1260 79.4854  
27.4150 -1.0745 40.4185  
27.4660 -0.1862 -10.4180  
27.4810 0.7616 74.1898  
27.5150 1.6940 13.8176  
27.5650 2.5517 -2.0957  
27.5810 3.5773 102.5858  
27.6320 4.5632 -0.3794  
27.6480 5.1073 -89.7397  
27.6980 5.4208 -13.6348  
27.7140 5.5548 -22.7295  
27.7480 5.4999 -18.7051  
27.7990 5.5272 5.6881  
